,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%)
228,685.04,43.1,30.1,1.71,1.195,2.403,50.3
229,685.18,48.0,32.5,1.6909999999999998,1.1420000000000001,2.4619999999999997,53.6
230,691.735,42.1,29.6,1.7109999999999999,1.204,2.384,49.5
231,692.898,39.8,28.5,1.7480000000000002,1.25,2.432,48.6
232,693.738,38.1,27.6,1.79,1.296,2.504,48.2
233,694.3739999999999,41.0,29.1,1.7719999999999998,1.2570000000000001,2.529,50.3
234,694.513,41.0,29.1,1.7990000000000002,1.276,2.6069999999999998,51.1
235,695.574,35.8,26.4,1.805,1.329,2.484,46.5
236,695.925,40.1,28.6,1.758,1.254,2.467,49.2
237,697.1619999999999,29.9,23.0,1.8559999999999999,1.4280000000000002,2.452,41.8
238,698.408,45.2,31.1,1.722,1.186,2.489,52.4
239,699.432,42.4,29.8,1.704,1.197,2.371,49.5
240,700.087,41.1,29.1,1.724,1.222,2.399,49.1
241,703.34,32.2,24.4,1.87,1.4140000000000001,2.55,44.5
242,703.95,29.8,23.0,1.893,1.4580000000000002,2.535,42.5
243,706.35,33.5,25.1,1.817,1.361,2.454,44.5
244,709.29,38.1,27.6,1.757,1.272,2.416,47.4
245,710.97,38.2,27.7,1.7890000000000001,1.294,2.504,48.3
246,713.78,37.0,27.0,1.7819999999999998,1.3,2.455,47.0
247,721.03,35.8,26.3,1.8,1.3259999999999998,2.469,46.3
248,721.27,36.3,26.6,1.801,1.3219999999999998,2.485,46.8
249,723.06,45.3,31.2,1.702,1.171,2.432,51.8
250,724.71,37.0,27.0,1.796,1.31,2.491,47.4
251,725.0,35.1,26.0,1.791,1.3259999999999998,2.43,45.4
252,729.72,38.5,27.8,1.706,1.2309999999999999,2.296,46.4
253,729.81,24.3,19.5,1.7530000000000001,1.411,2.12,33.5
254,730.58,45.2,31.1,1.6680000000000001,1.149,2.33,50.7
255,731.84,18.7,15.7,1.994,1.681,2.423,30.6
256,733.64,63.1,38.7,1.6119999999999999,0.9890000000000001,2.528,60.9
257,735.14,48.7,32.8,1.6780000000000002,1.128,2.435,53.7
258,739.9,47.9,32.4,1.746,1.181,2.637,55.2
259,740.7,43.3,30.2,1.7469999999999999,1.22,2.516,51.5
260,748.92,56.9,36.3,1.675,1.068,2.625,59.3
261,750.11,36.3,26.6,1.702,1.249,2.241,44.3
262,750.93,25.0,20.0,2.045,1.636,2.722,39.9
263,751.95,52.5,34.4,1.715,1.125,2.655,57.6
264,752.64,38.2,27.7,1.808,1.308,2.5580000000000003,48.9
265,753.38,36.4,26.7,1.8130000000000002,1.33,2.52,47.2
266,754.06,24.5,19.7,2.004,1.609,2.6180000000000003,38.5
267,754.76,45.4,31.2,1.7469999999999999,1.2009999999999998,2.571,53.3
268,755.61,35.4,26.1,1.781,1.3159999999999998,2.4130000000000003,45.5
269,756.21,46.5,31.7,1.679,1.146,2.39,52.1
270,758.64,6.6,6.2,2.28,2.1390000000000002,2.48,13.8
271,759.45,32.7,24.6,1.942,1.463,2.747,46.7
272,760.93,49.0,32.9,1.6780000000000002,1.126,2.443,53.9
273,761.08,51.5,34.0,1.6640000000000001,1.099,2.4530000000000003,55.2
274,768.92,52.6,34.5,1.641,1.075,2.403,55.3
275,770.74,42.1,29.6,1.729,1.217,2.4330000000000003,50.0
276,772.69,44.1,30.6,1.6969999999999998,1.178,2.391,50.7
277,773.25,45.9,31.5,1.653,1.133,2.302,50.8
278,778.69,21.9,18.0,2.063,1.692,2.653,36.2
279,788.01,55.6,35.7,1.67,1.073,2.569,58.2
280,790.0,41.1,29.1,1.8219999999999998,1.291,2.681,51.8
281,790.66,14.5,12.7,2.209,1.929,2.656,27.4
282,790.77,49.5,33.1,1.73,1.157,2.6289999999999996,56.0
283,798.6039999999999,37.0,27.0,1.8130000000000002,1.324,2.537,47.8
284,798.914,43.0,30.1,1.736,1.213,2.476,51.0
285,799.3389999999999,50.8,33.7,1.73,1.148,2.6630000000000003,56.9
286,800.1110000000001,46.5,31.7,1.7730000000000001,1.21,2.6889999999999996,55.0
287,800.575,39.9,28.5,1.8130000000000002,1.296,2.6180000000000003,50.5
288,801.802,56.1,35.9,1.702,1.091,2.708,59.7
289,802.198,40.6,28.9,1.788,1.271,2.5660000000000003,50.5
290,803.377,41.3,29.2,1.72,1.217,2.391,49.1
291,803.908,34.4,25.6,1.808,1.3459999999999999,2.455,45.2
292,804.845,36.3,26.6,1.7930000000000001,1.315,2.4659999999999997,46.7
293,805.695,46.8,31.9,1.715,1.168,2.5069999999999997,53.4
294,806.072,41.4,29.3,1.768,1.25,2.528,50.5
295,806.8539999999999,44.7,30.9,1.7109999999999999,1.183,2.444,51.6
296,807.76,33.0,24.8,1.817,1.3659999999999999,2.44,44.0
297,808.64,55.4,35.6,1.72,1.107,2.7569999999999997,59.8
298,809.73,40.3,28.7,1.76,1.254,2.478,49.4
299,810.57,42.3,29.7,1.778,1.249,2.582,51.6
300,811.61,43.7,30.4,1.754,1.2209999999999999,2.545,52.0
