,Depth CSF-B (m),NGR total counts (cps)
994,73.1,54.483999999999995
995,73.2,54.074
996,73.3,54.773999999999994
997,73.4,54.17100000000001
998,73.5,54.599
999,73.6,54.262
1000,73.7,57.973
1001,73.8,56.586000000000006
1002,73.9,55.43600000000001
1003,74.0,51.66
1004,74.1,40.023
1005,74.2,51.523
1006,74.3,51.24
1007,74.4,45.786
1008,74.5,47.36600000000001
1009,74.6,35.144
1010,74.7,33.861
1011,74.8,33.101
1012,74.9,32.898
1013,75.0,37.896
1014,75.1,44.806000000000004
1015,75.2,46.73
1016,75.3,42.726000000000006
1017,75.4,45.282
1018,75.5,51.129
1019,75.6,52.086000000000006
1020,75.7,54.426
1021,75.7,52.075
1022,75.8,49.409
1023,75.9,51.07899999999999
1024,76.0,55.713
1025,76.1,57.228
1026,76.2,55.571000000000005
1027,76.3,55.193999999999996
1028,76.4,51.698
1029,76.5,49.989
1030,76.6,44.108999999999995
1031,76.7,34.146
1032,76.8,37.153
1033,76.9,45.016000000000005
1034,77.0,43.706
1035,77.1,45.022
1036,77.2,49.158
1037,77.2,56.056999999999995
1038,77.3,53.733000000000004
1039,77.4,55.053000000000004
1040,77.5,56.159
1041,77.6,53.733999999999995
1042,77.7,49.478
1043,77.8,43.92100000000001
1044,77.9,46.321000000000005
1045,78.0,56.181999999999995
1046,78.1,52.629
1047,78.2,54.191
1048,78.3,58.086000000000006
1049,78.3,60.955
1050,78.4,55.898999999999994
1051,78.5,52.853
1052,78.6,54.748999999999995
1053,78.7,57.36600000000001
1054,78.8,49.821999999999996
1055,79.2,28.029
1056,79.296,33.688
1057,79.393,41.216
1058,79.48899999999999,46.873000000000005
1059,79.585,48.394
1060,79.682,44.391000000000005
1061,79.778,49.081
1062,79.874,53.098
1063,79.971,55.708999999999996
1064,80.067,58.708999999999996
1065,80.163,56.066
1066,80.26,50.79
1067,80.35600000000001,43.606
1068,80.452,40.455999999999996
1069,80.54899999999999,35.924
1070,80.645,36.506
1071,80.645,50.585
1072,80.741,47.49
1073,80.83800000000001,51.349
1074,80.934,54.202
1075,81.03,55.801
1076,81.127,57.861000000000004
1077,81.223,47.601000000000006
1078,81.319,43.038000000000004
1079,81.416,49.879
1080,81.512,53.352
1081,81.608,54.14
1082,81.705,54.133
1083,81.801,55.748999999999995
1084,81.89699999999999,52.141999999999996
1085,81.994,45.379
1086,82.09,38.49
1087,82.09,35.558
1088,82.186,37.454
1089,82.28299999999999,36.619
1090,82.37899999999999,41.403
1091,82.476,46.224
1092,82.572,48.946999999999996
1093,82.66799999999999,48.308
1094,82.765,48.791000000000004
1095,82.861,51.861999999999995
1096,82.958,56.858999999999995
1097,83.054,53.626000000000005
1098,83.15,52.033
1099,83.24700000000001,48.31
1100,83.34299999999999,42.989
1101,83.536,42.287
1102,83.632,45.901
1103,83.729,46.256
1104,83.825,37.036
1105,83.921,29.487
1106,84.01799999999999,30.271
1107,84.11399999999999,34.421
1108,84.21,36.994
1109,84.306,37.819
1110,84.40299999999999,35.916
1111,84.499,39.006
1112,84.595,47.266000000000005
1113,84.69200000000001,50.208
1114,84.788,43.864
1115,84.788,36.088
1116,84.884,38.769
1117,84.98100000000001,37.303000000000004
1118,85.07700000000001,36.716
1119,85.17399999999999,38.879
1120,85.27,36.608000000000004
1121,85.34700000000001,45.738
1122,85.443,43.412
1123,85.54,44.809
1124,85.63600000000001,51.611999999999995
1125,85.73200000000001,52.964
1126,85.829,53.701
1127,85.925,51.744
1128,86.021,49.231
1129,86.118,50.858999999999995
1130,86.214,55.192
1131,86.31,57.03
1132,86.40700000000001,55.99
1133,86.50299999999999,56.022
1134,86.59899999999999,55.882
1135,86.696,56.023
1136,86.792,55.516000000000005
1137,86.792,54.553000000000004
1138,86.88799999999999,52.813
1139,86.985,51.096000000000004
1140,87.081,51.229
1141,87.178,51.541000000000004
1142,87.274,44.552
1143,87.37100000000001,38.463
1144,87.448,20.392
1145,87.544,29.576
1146,87.64,47.788999999999994
1147,87.73700000000001,58.086000000000006
1148,87.833,56.721000000000004
1149,87.929,56.771
1150,88.025,54.434
1151,88.12200000000001,53.898
1152,88.21799999999999,48.427
1153,88.7,28.0
