,Depth CSF-B (m),Bulk density (GRA)
868,6.218999999999999,1.436
869,6.222,1.722
870,6.23,1.499
871,6.237,1.5
872,6.244,1.1059999999999999
873,6.247000000000001,1.749
874,6.255,1.5730000000000002
875,6.2620000000000005,1.5290000000000001
876,6.268,1.389
877,6.272,1.715
878,6.28,1.632
879,6.2860000000000005,0.945
880,6.292999999999999,1.386
881,6.297000000000001,1.781
882,6.305,1.7209999999999999
883,6.317,1.263
884,6.321000000000001,1.805
885,6.33,1.682
886,6.3420000000000005,1.3559999999999999
887,6.346,1.751
888,6.355,1.6980000000000002
889,6.367000000000001,1.355
890,6.38,1.64
891,6.391,1.2930000000000001
892,6.405,1.662
893,6.412999999999999,1.58
894,6.416,1.286
895,6.43,1.6340000000000001
896,6.438,1.641
897,6.44,1.484
898,6.455,1.4780000000000002
899,6.462999999999999,1.4809999999999999
900,6.465,1.624
901,6.476,1.557
902,6.48,1.421
903,6.487,1.5019999999999998
904,6.49,1.5430000000000001
905,6.501,1.5630000000000002
906,6.505,1.444
907,6.5120000000000005,1.5119999999999998
908,6.513999999999999,1.6669999999999998
909,6.526,1.652
910,6.53,1.421
911,6.5360000000000005,1.518
912,6.539,1.696
913,6.551,1.635
914,6.555,1.4069999999999998
915,6.561,1.565
916,6.563,1.661
917,6.575,1.6369999999999998
918,6.58,1.442
919,6.585,1.528
920,6.587999999999999,1.57
921,6.6,1.601
922,6.605,1.4369999999999998
923,6.61,1.557
924,6.612,1.672
925,6.625,1.7619999999999998
926,6.63,1.44
927,6.6339999999999995,1.584
928,6.6370000000000005,1.38
929,6.65,1.656
930,6.655,1.446
931,6.659,1.806
932,6.662000000000001,1.3780000000000001
933,6.675,1.5330000000000001
934,6.68,1.476
935,6.683,1.7080000000000002
936,6.686,1.494
937,6.699,1.556
938,6.705,1.534
939,6.707999999999999,1.5759999999999998
940,6.711,1.4240000000000002
941,6.724,1.52
942,6.73,1.581
943,6.732,1.618
944,6.735,1.402
945,6.749,1.6159999999999999
946,6.755,1.556
947,6.757000000000001,1.781
948,6.76,1.4480000000000002
949,6.774,1.8619999999999999
950,6.78,1.464
951,6.782,0.603
952,6.785,1.433
953,6.7989999999999995,1.666
954,6.805,1.439
955,6.809,1.485
956,6.824,1.694
957,6.83,1.444
958,6.834,1.4709999999999999
959,6.849,1.6380000000000001
