"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Bulk density (GRA)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","A","1","H","11","","11.6","5.116","5.089","1.527","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","14.1","5.141","5.114","1.48","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","16.6","5.166","5.139","1.498","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","19.1","5.191","5.164","1.502","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","21.6","5.216","5.188","1.534","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","24.1","5.241","5.213","1.808","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","26.6","5.266","5.238","1.789","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","29.1","5.291","5.263","1.735","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","31.6","5.316","5.288","1.714","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","34.1","5.341","5.313","1.758","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","36.6","5.366","5.338","1.742","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","39.1","5.391","5.362","0.828","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","12","","1.7","5.517","5.488","1.91","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","4.2","5.542","5.513","1.712","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","6.7","5.567","5.538","1.71","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","9.2","5.592","5.563","1.743","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","11.7","5.617","5.587","1.604","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","14.2","5.642","5.612","1.592","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","16.7","5.667","5.637","1.534","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","19.2","5.692","5.662","1.515","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","21.7","5.717","5.687","1.541","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","24.2","5.742","5.712","1.602","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","26.7","5.767","5.736","1.682","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","29.2","5.792","5.761","1.777","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","31.7","5.817","5.786","1.554","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
"349","U1431","A","1","H","12","","34.2","5.842","5.811","1.542","2014-02-01 06:31:48","GRA1","WRMSL","SECT5293161","55239461","","",""
